"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Tue Jul 04 22:00:36 CST 2023","Tue Jul 04 22:00:36 CST 2023","0","test_case.Collect","test_collect_update_tool","TestCollectUpdateTool","","","test_collect_update_tool[编辑收藏网址]","
        :param :
        :return:
        "
"passed","Tue Jul 04 22:00:37 CST 2023","Tue Jul 04 22:00:37 CST 2023","243","test_case.Login","test_login","TestLogin","","","test_login[输入错误的密码]","
        :param :
        :return:
        "
"skipped","Tue Jul 04 22:00:34 CST 2023","Tue Jul 04 22:00:34 CST 2023","0","test_case.Collect","test_collect_delete_tool","TestCollectDeleteTool","","","test_collect_delete_tool[正常删除不存在的ID数据（接口未完成此功能，跳过该条用例）]","
        :param :
        :return:
        "
"passed","Tue Jul 04 22:00:33 CST 2023","Tue Jul 04 22:00:33 CST 2023","135","test_case.UserInfo","test_get_user_info","TestGetUserInfo","","","test_get_user_info[正常获取个人身份信息]","
        :param :
        :return:
        "
"passed","Tue Jul 04 22:00:38 CST 2023","Tue Jul 04 22:00:38 CST 2023","227","test_case.Login","test_login","TestLogin","","","test_login[登录密码为空]","
        :param :
        :return:
        "
"passed","Tue Jul 04 22:00:38 CST 2023","Tue Jul 04 22:00:38 CST 2023","270","test_case.Login","test_login","TestLogin","","","test_login[输入手机号码大于于11位]","
        :param :
        :return:
        "
"passed","Tue Jul 04 22:00:36 CST 2023","Tue Jul 04 22:00:37 CST 2023","788","test_case.Login","test_login","TestLogin","","","test_login[正常登录]","
        :param :
        :return:
        "
"passed","Tue Jul 04 22:00:39 CST 2023","Tue Jul 04 22:00:39 CST 2023","221","test_case.Login","test_login","TestLogin","","","test_login[手机号码首位包含空格]","
        :param :
        :return:
        "
"passed","Tue Jul 04 22:00:34 CST 2023","Tue Jul 04 22:00:36 CST 2023","2474","test_case.Collect","test_collect_tool_list","TestCollectToolList","","","test_collect_tool_list[查看收藏网址列表接口]","
        :param :
        :return:
        "
"passed","Tue Jul 04 22:00:38 CST 2023","Tue Jul 04 22:00:39 CST 2023","229","test_case.Login","test_login","TestLogin","","","test_login[手机号码为空]","
        :param :
        :return:
        "
"passed","Tue Jul 04 22:00:39 CST 2023","Tue Jul 04 22:00:39 CST 2023","317","test_case.Collect","test_collect_delete_tool","TestCollectDeleteTool","","","test_collect_delete_tool[正常删除收藏网站]","
        :param :
        :return:
        "
"passed","Tue Jul 04 22:00:34 CST 2023","Tue Jul 04 22:00:34 CST 2023","152","test_case.Collect","test_collect_addtool","TestCollectAddtool","","","test_collect_addtool[未登录状态下新增收藏网址]","
        :param :
        :return:
        "
"passed","Tue Jul 04 22:00:34 CST 2023","Tue Jul 04 22:00:34 CST 2023","324","test_case.Collect","test_collect_addtool","TestCollectAddtool","","","test_collect_addtool[新增收藏网址接口]","
        :param :
        :return:
        "
"passed","Tue Jul 04 22:00:38 CST 2023","Tue Jul 04 22:00:38 CST 2023","213","test_case.Login","test_login","TestLogin","","","test_login[输入非1开头的手机号码]","
        :param :
        :return:
        "
"passed","Tue Jul 04 22:00:38 CST 2023","Tue Jul 04 22:00:38 CST 2023","245","test_case.Login","test_login","TestLogin","","","test_login[输入手机号码小于11位]","
        :param :
        :return:
        "
